User  ID,Group ID,Group Name,Group Link
1993680174,15108189,Space UGC,https://www.roblox.com/groups/15108189/x
705286096,5591611,Unitеd States Space Force,https://www.roblox.com/groups/5591611/x
3212568774,14525548,Color Place,https://www.roblox.com/groups/14525548/x
5396042281,33231549,Swansa X Peaceful Play,https://www.roblox.com/groups/33231549/x
5495345199,33918183,・ace ・,https://www.roblox.com/groups/33918183/x
3939331580,12743170,DoubleAce Games,https://www.roblox.com/groups/12743170/x
1734991570,32979808,VOEW's Marketplace,https://www.roblox.com/groups/32979808/x
2378037137,33773150,Velks & Faces,https://www.roblox.com/groups/33773150/x
1726902072,33519354,blacklaced,https://www.roblox.com/groups/33519354/x
5612683136,14406445,ace dhc,https://www.roblox.com/groups/14406445/x
4887591823,5239968,Furry Palace,https://www.roblox.com/groups/5239968/x
5359350753,5452404,Vibe Place,https://www.roblox.com/groups/5452404/x
795252560,4554783,ツ Spades,https://www.roblox.com/groups/4554783/x
795252560,34717641,Katie's Spade Club,https://www.roblox.com/groups/34717641/x
3278508879,34098592,Hutt's Palace,https://www.roblox.com/groups/34098592/x
2706763571,10404977,SnowBunnybig's place,https://www.roblox.com/groups/10404977/x
2665756561,12807550,Faceshopping,https://www.roblox.com/groups/12807550/x
1478764481,34944555,ACED',https://www.roblox.com/groups/34944555/x
3771264125,15327642,heartspace,https://www.roblox.com/groups/15327642/x
2654090242,10911534,aces 0f spades,https://www.roblox.com/groups/10911534/x
1407568249,15322577,Spacebar Studio,https://www.roblox.com/groups/15322577/x
